FACTORY,FTY STATUS,SALES DOLLARS,SALES UNITS,MMO,IMO,MARK DOWNS,DAMAGE RATE,Lead Time Days,On Time %,Reject %,Pairs Defect %,Pkg Defect %,"Customer Damage per 100,000",Total Damage Rate,Receipt Units,Receipt 1st Cost,Average 1st Cost,Year
WANFENG,SA,1446.51337,120.041,0.39657153,0.596802885,0.494312901,0.001862796,,,0,0,0,0.000399863,0.001862796,,,,2000
MONIA,SA,1291.45307,113.292,0.513851882,0.576462309,0.13967988,0.008117407,177.207528,1,0,0.047385621,0,0.005746213,0.008117407,113.632,454.528,4,2000
XIAMENRUBB,SA,632.14888,112.869,0.581683796,0.613845966,0.069503295,0.014638166,,,0,0,0,0.001745386,0.014638166,,,,2000
ZHONGHUAN,SA,3424.40641,105.768,0.505858106,0.592388656,0.175017167,0.036256763,36.76640476,1,0,0.069008783,0,0.019088949,0.036256763,57.092,720.88128,12.62666013,2000
SHANGYI,SA,2045.05338,105.042,0.513069962,0.590864058,0.180856991,0.009319727,102.7399073,1,0,0.038348083,0.000737463,0.009510482,0.009319727,135.954,958.70484,7.051685423,2000
DILLY,SA,1901.78078,105.002,0.494414682,0.545860667,0.103697125,0.009683161,0,0,0,0,0.011904762,0.006685587,0.009683161,43.026,301.182,7,2000
PETRINI,SA,1168.37049,101.642,0.519723371,0.578137028,0.130060705,0.008273985,197.5714286,1,0.00495953,0.016156463,0.00170068,0.007004978,0.008273985,102.752,411.008,4,2000
LILIANA,SA,1588.14061,93.898,0.512741085,0.595075659,0.18189851,0.01762128,48.8125937,1,0,0.00073692,0,0.016592473,0.01762128,94.911,564.72045,5.95,2000
SADAF,SA,1205.16736,89.087,0.407100886,0.651762538,0.689179609,0.013453426,66.38438126,1,0,0.018475751,0.002309469,0.007453388,0.013453426,85.845,510.77775,5.95,2000
DAYNAN,SA,1961.01212,86.605,0.575130923,0.611244313,0.087876474,0.005107526,48.06864773,0.982880865,0.000393275,0.037167253,0,0.012285665,0.005107526,140.174,1037.1681,7.399147488,2000
ASONIC,SA,1851.75902,85.814,0.590600606,0.618783634,0.065412853,0.008659896,82.46279695,1,0.01726122,0.037946429,0,0.007924115,0.008659896,89.274,568.89138,6.372419517,2000
SIMPLE,SA,2291.68777,83.203,0.521398511,0.572974673,0.088829815,0.031855635,88,1,0.181818182,0.128472222,0,0.026669711,0.031855635,29.046,288.6564,9.937905391,2000
SHINGTAI,SA,1365.83304,80.995,0.398517677,0.562527133,0.353104659,0.022195568,86.18483777,1,0.142360614,0.143712575,0,0.010803136,0.022195568,80.309,451.4495,5.621406069,2000
LUENTHAI,SA,886.77202,78.823,0.527015591,0.593044566,0.154564811,0.007572623,105.5420112,0.974427995,0.035791757,0.067393459,0.007928642,0.005886607,0.007572623,93.582,271.60326,2.902302366,2000
GREATYEAR,SA,632.61941,71.834,0.55143414,0.61950494,0.15477908,0.024420243,,,0,0,0,0.008352591,0.024420243,,,,2000
LONGPOWER,SA,927.3442,71.285,0.210835912,0.366784726,0.225394142,0.021480827,67.2611933,0.835994905,0.085384932,0.069924812,0,0.015501157,0.021480827,90.792,672.1851,7.403571901,2000
TREVO,SA,1018.3685,69.962,0.4834211,0.573139171,0.204940432,0.005110007,,,0,0,0,0.003287499,0.005110007,,,,2000
NANHAI,SA,685.88363,69.307,0.338928748,0.579229039,0.542370868,0.026465641,33,1,0,0.102040816,0,0.009970133,0.026465641,2.394,9.6957,4.05,2000
BLIPBR,SA,715.50445,69.179,0.450989606,0.564985564,0.255074249,0.006987643,,,0,0,0,0.004611226,0.006987643,34.02,144.585,4.25,2000
STOCKACCES,SA,476.35281,68.799,0.455634176,0.560745585,0.232691395,0.006900495,2.890374099,0.144779099,0,0.031893004,0.037037037,0.005029143,0.006900495,71.004,254.3808,3.582626331,2000
NANJING,SA,445.52334,65.834,0.349521172,0.565565566,0.476200237,0.021100107,21.27481903,1,0,0.080110497,0.005524862,0.010101164,0.021100107,69.624,281.9772,4.05,2000
LEDI,SA,990.99005,63.603,0.506836471,0.575448352,0.152436364,0.008925801,182,1,0,0.007142857,0,0.006430514,0.008925801,50.952,287.8788,5.65,2000
YOUNG,SA,468.33067,63.191,0.136218177,0.510342844,0.752716921,0.01110491,,,0,0,0,0.005522938,0.01110491,51.06,247.641,4.85,2000
ROYALGLORY,SA,494.71502,61.989,0.556076345,0.614040404,0.145570858,0.004324854,90.22236242,1,0,0.062337662,0,0.003242511,0.004324854,64.212,158.99844,2.476148383,2000
CARNELLA,SA,219.44664,44.724,-0.303739898,0.581504408,2.086471317,0.028676265,46.00803744,1,0,0.010135135,0,0.007423307,0.028676265,,,,2000
NOVELTY,SA,292.29274,42.861,0.510472651,0.589908955,0.186325702,0.007159603,69.97820361,1,0.094837341,0.086335404,0.11242236,0.004759572,0.007159603,60.054,186.44988,3.104703767,2000
CALZAGARVE,SA,438.07446,37.526,0.486435525,0.544310374,0.109897482,0.017406014,57.62331923,1,0.077396843,0.006263982,0.121252796,0.017694399,0.017406014,95.879,549.12966,5.727319434,2000
KAMKEE,SA,394.74338,35.57,0.509690523,0.584739283,0.170518173,0.010217777,0,0,0,0.015432099,0,0.007703121,0.010217777,30.012,99.0396,3.3,2000
DEJUNEL,SA,380.76301,34.194,0.373342594,0.543117426,0.35502674,0.016824218,49.07438715,0.567202029,0,0.004991681,0,0.010879102,0.016824218,35.49,203.955,5.746830093,2000
